start,end,dur,speaker,best_participant,best_combined,top2_participant,top2_combined,top3_participant,top3_combined
0.24,3.615,3.375,speaker_0,participant_02,0.13104641151270674,participant_06,0.06704583838582039,participant_01,0.05944464430212974
3.615,8.365,4.75,speaker_6,participant_07,0.3456065944895268,participant_02,0.07061812579631804,participant_05,0.0298613466322422
8.365,11.115,2.75,speaker_2,participant_02,0.18412046768710436,participant_07,0.1075919046998024,participant_06,0.07093146741390227
11.115,14.940000000000001,3.825000000000001,speaker_5,participant_02,0.1470479953098398,participant_01,0.05725406929850578,participant_05,0.05683638826012611
16.19,19.815,3.625,speaker_4,participant_02,0.23462330407916304,participant_01,0.05455482006072998,participant_05,0.054072009027004236
19.815,24.565,4.75,speaker_1,participant_02,0.19405135792954864,participant_07,0.10379175282999183,participant_01,0.04268485233187675
24.565,27.565,3.0,speaker_3,participant_04,0.17620746469844784,participant_02,0.0945262685418129,participant_01,0.03475796394050121
27.565,30.0,2.4349999999999987,speaker_7,participant_02,0.2229065684098051,participant_04,0.21215198276950992,participant_07,0.09084704740287358
