participant,dt,window,p10,p90,mean_raw,mean_norm,sum_norm
participant_01,0.039999961853027344,6,0.03621932864189148,0.08535922169685364,0.06407595425844193,0.5974242091178894,440.3016357421875
participant_02,0.039999961853027344,6,0.0921916238963604,0.22431140691041948,0.15491048991680145,0.46553030610084534,346.35455322265625
participant_03,0.039999961853027344,6,0.0012882562004961073,0.014467612281441696,0.007139689289033413,0.41775593161582947,313.31695556640625
participant_04,0.039999961853027344,6,0.004086711443960667,0.09641193449497222,0.03333292901515961,0.2885294556617737,203.99032592773438
participant_05,0.039999961853027344,6,0.03636156469583512,0.08524975925683975,0.06355011463165283,0.5827887654304504,423.68743896484375
participant_06,0.039999961853027344,6,0.01305741649121046,0.10393184870481492,0.04943527653813362,0.37953564524650574,266.8135681152344
participant_07,0.039999961853027344,6,0.0022610771469771863,0.22071707844734192,0.06335870921611786,0.23793938755989075,133.00811767578125
participant_08,0.039999961853027344,6,0.004789653234183788,0.011744788847863674,0.008110329508781433,0.29952549934387207,87.16191864013672
